                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                  1.085,                0.87831,                 1.0679,                0.77124,                0.79892,                0.82791,                0.68713,                 0.9838,                0.63608,                 1.0767,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.0782,                 0.8773,                 1.0655,                0.77195,                0.79981,                0.82926,                0.68854,                0.98343,                0.63557,                 1.0767,               0.005941,               0.005941,               0.005941
                     84,                 1.0775,                0.87396,                 1.0647,                 0.7749,                0.79946,                0.83018,                0.68914,                0.98327,                0.63497,                 1.0765,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.0771,                0.87648,                 1.0655,                0.77372,                0.79912,                 0.8292,                0.68733,                 0.9827,                0.63468,                  1.076,               0.005842,               0.005842,               0.005842
                     86,                 1.0742,                0.87493,                 1.0631,                0.77738,                0.79757,                 0.8296,                0.68878,                0.98277,                0.63405,                  1.076,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.0756,                0.87162,                 1.0647,                0.77738,                0.80111,                0.83091,                 0.6901,                0.98282,                0.63281,                 1.0761,               0.005743,               0.005743,               0.005743
                     88,                 1.0727,                0.87123,                 1.0637,                0.77311,                 0.8055,                0.82895,                0.68822,                0.98296,                0.63227,                 1.0762,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.0753,                0.86889,                  1.065,                0.77309,                0.80336,                0.82728,                0.68723,                0.98297,                0.63211,                 1.0762,               0.005644,               0.005644,               0.005644
                     90,                 1.0733,                0.87022,                 1.0626,                0.77373,                0.80273,                0.82694,                0.68571,                 0.9829,                0.63209,                 1.0762,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.0735,                0.87079,                 1.0625,                0.77111,                0.80479,                0.82606,                0.68596,                0.98273,                0.63188,                 1.0762,               0.005545,               0.005545,               0.005545
                     92,                 1.0673,                0.87016,                 1.0598,                0.76826,                0.81008,                0.82771,                0.68816,                0.98273,                0.63091,                 1.0761,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.0668,                0.86162,                 1.0607,                0.76978,                0.81037,                0.82883,                0.68808,                0.98266,                 0.6307,                  1.076,               0.005446,               0.005446,               0.005446
                     94,                 1.0667,                0.86251,                 1.0592,                0.76776,                0.81156,                0.82836,                0.68746,                0.98261,                0.63088,                 1.0759,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.0694,                0.86304,                 1.0617,                0.77058,                0.80952,                0.82881,                0.68828,                0.98245,                0.63012,                 1.0758,               0.005347,               0.005347,               0.005347
                     96,                 1.0671,                 0.8586,                 1.0592,                0.77424,                0.80606,                0.82804,                0.68846,                0.98222,                0.63061,                 1.0757,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.0626,                 0.8638,                 1.0576,                0.77391,                0.80709,                0.82874,                0.68894,                0.98227,                0.63014,                 1.0756,               0.005248,               0.005248,               0.005248
                     98,                 1.0657,                0.86424,                 1.0586,                0.77371,                0.80877,                 0.8295,                0.68913,                0.98207,                0.62955,                 1.0754,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.0683,                0.85975,                 1.0591,                0.77456,                0.80788,                0.82859,                0.68868,                0.98175,                0.62908,                 1.0752,               0.005149,               0.005149,               0.005149
                    100,                 1.0641,                0.86093,                 1.0578,                0.77324,                0.80827,                0.83009,                0.68983,                0.98161,                0.62816,                 1.0751,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.0624,                0.85702,                  1.057,                0.76685,                0.81177,                0.83058,                0.69154,                0.98151,                0.62735,                  1.075,                0.00505,                0.00505,                0.00505
                    102,                 1.0628,                0.85332,                 1.0582,                0.76569,                 0.8167,                 0.8301,                 0.6917,                0.98122,                 0.6273,                  1.075,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.0648,                0.85547,                 1.0578,                0.76275,                0.82153,                0.83006,                0.69109,                0.98089,                0.62791,                 1.0748,               0.004951,               0.004951,               0.004951
                    104,                 1.0624,                0.85506,                 1.0563,                0.75961,                  0.822,                0.83032,                0.69123,                0.98095,                0.62704,                 1.0747,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.0624,                0.85903,                 1.0579,                0.76077,                0.82126,                 0.8296,                0.68984,                0.98077,                0.62762,                 1.0746,               0.004852,               0.004852,               0.004852
                    106,                 1.0535,                0.84606,                 1.0537,                0.76076,                0.82449,                0.82868,                0.68887,                0.98069,                0.62703,                 1.0746,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.0602,                0.85289,                 1.0556,                0.76188,                0.82494,                0.83016,                0.69057,                0.98066,                0.62622,                 1.0743,               0.004753,               0.004753,               0.004753
                    108,                 1.0514,                 0.8469,                 1.0547,                0.76257,                0.82423,                0.82964,                0.69047,                0.98062,                0.62665,                 1.0742,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.0579,                 0.8433,                 1.0555,                0.76314,                0.82323,                0.82977,                0.69067,                0.98039,                 0.6265,                 1.0741,               0.004654,               0.004654,               0.004654
                    110,                 1.0586,                0.85244,                 1.0553,                0.76592,                0.81915,                0.82911,                0.68991,                0.98058,                0.62665,                 1.0741,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.0542,                0.84658,                 1.0542,                0.76667,                0.81922,                0.82946,                0.69029,                0.98039,                0.62627,                 1.0739,               0.004555,               0.004555,               0.004555
                    112,                 1.0527,                0.84787,                 1.0534,                0.76532,                0.82055,                 0.8287,                0.68946,                0.98004,                0.62575,                 1.0736,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.0538,                0.84569,                 1.0535,                0.76475,                0.82088,                0.82864,                0.68938,                0.97989,                0.62565,                 1.0734,               0.004456,               0.004456,               0.004456
                    114,                 1.0527,                0.84251,                 1.0521,                0.76502,                0.82062,                0.82974,                0.69007,                0.97969,                0.62555,                 1.0732,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.0526,                 0.8462,                  1.053,                0.76404,                0.82394,                0.83204,                0.69086,                0.97951,                0.62505,                  1.073,               0.004357,               0.004357,               0.004357
                    116,                 1.0495,                0.84386,                  1.053,                0.76754,                 0.8213,                0.83322,                0.69304,                 0.9794,                0.62464,                 1.0728,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.0509,                0.84089,                 1.0509,                 0.7683,                0.81514,                0.83121,                0.69125,                0.97913,                0.62509,                 1.0725,               0.004258,               0.004258,               0.004258
                    118,                 1.0493,                0.84117,                  1.051,                0.76758,                0.82176,                 0.8302,                0.69066,                  0.979,                0.62507,                 1.0724,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.0484,                0.83973,                 1.0509,                 0.7672,                0.82078,                0.83011,                0.69048,                0.97899,                0.62523,                 1.0724,               0.004159,               0.004159,               0.004159
                    120,                 1.0474,                0.83728,                 1.0498,                0.76724,                0.82002,                0.82988,                0.69068,                0.97857,                0.62479,                 1.0721,              0.0041095,              0.0041095,              0.0041095
                    121,                  1.043,                0.83451,                  1.049,                0.76971,                0.81956,                0.82987,                0.69103,                0.97849,                0.62464,                  1.072,                0.00406,                0.00406,                0.00406
                    122,                 1.0409,                0.83719,                 1.0493,                0.76864,                 0.8181,                   0.83,                0.69067,                0.97812,                 0.6245,                 1.0717,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.0455,                0.83355,                 1.0492,                0.77056,                 0.8168,                0.82993,                0.69059,                 0.9781,                0.62372,                 1.0716,               0.003961,               0.003961,               0.003961
                    124,                 1.0431,                 0.8341,                 1.0473,                0.77263,                0.81465,                0.83104,                0.69123,                0.97813,                0.62318,                 1.0717,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.0432,                0.83293,                 1.0494,                0.77582,                0.81305,                0.83142,                0.69204,                0.97788,                0.62182,                 1.0715,               0.003862,               0.003862,               0.003862
                    126,                  1.041,                0.83319,                 1.0463,                0.77688,                0.81278,                0.83143,                0.69263,                0.97753,                 0.6218,                 1.0709,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.0382,                0.83305,                 1.0456,                0.77866,                0.81428,                0.83218,                0.69376,                0.97738,                0.62175,                 1.0707,               0.003763,               0.003763,               0.003763
                    128,                 1.0374,                0.82933,                 1.0448,                0.77027,                0.82126,                0.83068,                0.69254,                0.97762,                0.62234,                 1.0707,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.0384,                0.82923,                  1.045,                 0.7674,                 0.8214,                0.82971,                0.69141,                0.97773,                0.62366,                 1.0708,               0.003664,               0.003664,               0.003664
                    130,                 1.0365,                0.82748,                 1.0443,                0.76848,                0.82098,                0.83008,                0.69195,                0.97752,                0.62336,                 1.0707,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.0368,                0.82836,                 1.0467,                0.76635,                0.81925,                0.82942,                0.69153,                0.97781,                0.62378,                 1.0708,               0.003565,               0.003565,               0.003565
                    132,                 1.0352,                0.82645,                 1.0441,                0.76386,                0.81766,                0.82875,                 0.6907,                0.97775,                0.62368,                 1.0707,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.0296,                0.82074,                 1.0415,                0.77748,                0.80359,                0.82915,                0.69034,                 0.9776,                0.62399,                 1.0705,               0.003466,               0.003466,               0.003466
                    134,                 1.0315,                0.82246,                 1.0441,                0.79121,                0.79265,                0.82884,                0.69035,                0.97738,                  0.624,                 1.0702,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.0312,                0.81685,                 1.0427,                0.79462,                0.78913,                 0.8286,                0.69083,                0.97741,                0.62401,                 1.0701,               0.003367,               0.003367,               0.003367
                    136,                 1.0319,                 0.8252,                 1.0447,                 0.7858,                0.79589,                0.82846,                0.68986,                0.97718,                0.62327,                 1.0699,              0.0033175,              0.0033175,              0.0033175
                    137,                  1.028,                0.81978,                 1.0418,                0.78442,                0.79485,                0.82901,                0.69134,                 0.9771,                0.62297,                 1.0696,               0.003268,               0.003268,               0.003268
                    138,                 1.0282,                0.81725,                 1.0413,                0.78409,                0.79512,                0.82858,                0.69095,                0.97726,                0.62313,                 1.0695,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.0273,                0.81516,                 1.0399,                0.79019,                0.79376,                0.82909,                0.69094,                0.97687,                0.62234,                 1.0691,               0.003169,               0.003169,               0.003169
                    140,                 1.0274,                0.81635,                 1.0411,                0.79061,                0.79373,                0.82989,                0.69237,                0.97646,                0.62155,                 1.0687,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.0279,                0.82087,                 1.0417,                0.78921,                0.79596,                0.82996,                0.69209,                0.97637,                0.62077,                 1.0685,                0.00307,                0.00307,                0.00307
                    142,                 1.0259,                0.81777,                 1.0407,                 0.7917,                0.79763,                 0.8301,                0.69208,                0.97635,                0.62064,                 1.0683,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.0184,                0.81035,                 1.0374,                0.79237,                 0.7972,                0.82977,                0.69179,                0.97649,                 0.6206,                 1.0683,               0.002971,               0.002971,               0.002971
                    144,                 1.0213,                 0.8096,                  1.038,                0.78449,                0.80643,                0.83034,                0.69181,                0.97621,                0.61996,                  1.068,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.0212,                0.80972,                 1.0376,                0.79044,                0.80147,                0.83066,                0.69298,                0.97633,                0.61974,                 1.0681,               0.002872,               0.002872,               0.002872
                    146,                 1.0203,                0.80903,                 1.0383,                0.77938,                0.80833,                0.83163,                0.69414,                0.97617,                0.61884,                 1.0679,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.0208,                0.81367,                 1.0385,                0.77903,                0.80992,                0.83101,                0.69394,                0.97608,                0.61825,                 1.0677,               0.002773,               0.002773,               0.002773
                    148,                  1.016,                0.80696,                 1.0358,                0.77826,                0.81103,                0.83138,                0.69351,                0.97612,                0.61782,                 1.0677,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.0166,                0.80891,                 1.0359,                0.77759,                0.81304,                0.83118,                 0.6942,                0.97616,                0.61832,                 1.0675,               0.002674,               0.002674,               0.002674
                    150,                 1.0144,                0.80464,                 1.0344,                0.77834,                0.81291,                0.83119,                0.69478,                0.97617,                0.61858,                 1.0674,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.0152,                0.80086,                 1.0345,                0.77097,                0.81767,                0.83169,                0.69531,                0.97618,                0.61852,                 1.0673,               0.002575,               0.002575,               0.002575
                    152,                 1.0127,                0.80513,                 1.0351,                0.77211,                0.81921,                0.83155,                 0.6946,                0.97624,                0.61861,                 1.0671,              0.0025255,              0.0025255,              0.0025255
